Date,Price
21/08/2022,5900
22/08/2022,5900
23/08/2022,5900
24/08/2022,5900
25/08/2022,5900
26/08/2022,5900
29/08/2022,5900
30/08/2022,5900
31/08/2022,5900
01/09/2022,5900
02/09/2022,5900
03/09/2022,5900
05/09/2022,5900
06/09/2022,5900
07/09/2022,5700
08/09/2022,5700
09/09/2022,5700
10/09/2022,5700
11/09/2022,5700
12/09/2022,5700
13/09/2022,5700
14/09/2022,5700
15/09/2022,5700
16/09/2022,5700
17/09/2022,5700
18/09/2022,5700
19/09/2022,5700
20/09/2022,5700
21/09/2022,5700
22/09/2022,5700
23/09/2022,5700
24/09/2022,5700
25/09/2022,5700
26/09/2022,5700
27/09/2022,5700
28/09/2022,5700
29/09/2022,5700
30/09/2022,5700
01/10/2022,5700
02/10/2022,5700
03/10/2022,5700
04/10/2022,5700
05/10/2022,5700
06/10/2022,5700
07/10/2022,5700
08/10/2022,5700
09/10/2022,5700
10/10/2022,5700
11/10/2022,5700
12/10/2022,5700
13/10/2022,5700
14/10/2022,5700
15/10/2022,5700
16/10/2022,5700
17/10/2022,5700
18/10/2022,5700
19/10/2022,5700
20/10/2022,5700
21/10/2022,5700
22/10/2022,5700
23/10/2022,5700
24/10/2022,5700
25/10/2022,5900
26/10/2022,6100
27/10/2022,6300
28/10/2022,6300
29/10/2022,6500
30/10/2022,6500
31/10/2022,6500
01/11/2022,6500
02/11/2022,6500
03/11/2022,6500
04/11/2022,6500
05/11/2022,6500
06/11/2022,6500
07/11/2022,6500
08/11/2022,6650
09/11/2022,6650
10/11/2022,6750
11/11/2022,6750
12/11/2022,6750
13/11/2022,6750
14/11/2022,6750
15/11/2022,6750
16/11/2022,6750
17/11/2022,6750
18/11/2022,6750
19/11/2022,6750
20/11/2022,6750
21/11/2022,6750
22/11/2022,6750
23/11/2022,6750
24/11/2022,6750
25/11/2022,6750
26/11/2022,6750
27/11/2022,6750
28/11/2022,6750
29/11/2022,6750
30/11/2022,6850
01/12/2022,6850
02/12/2022,6850
03/12/2022,6850
04/12/2022,6850
05/12/2022,6850
06/12/2022,6850
07/12/2022,6850
08/12/2022,6850
09/12/2022,6850
10/12/2022,6850
11/12/2022,6850
12/12/2022,6850
