Date,Price
21/08/2022,5375
22/08/2022,5375
23/08/2022,5375
24/08/2022,5500
25/08/2022,5450
26/08/2022,5450
29/08/2022,5450
30/08/2022,5450
31/08/2022,5450
01/09/2022,5450
02/09/2022,5450
03/09/2022,5450
05/09/2022,5450
06/09/2022,5450
07/09/2022,5350
08/09/2022,5350
09/09/2022,5450
10/09/2022,5450
11/09/2022,5450
12/09/2022,5450
13/09/2022,5450
14/09/2022,5450
15/09/2022,5450
16/09/2022,5450
17/09/2022,5450
18/09/2022,5450
19/09/2022,5450
20/09/2022,5450
21/09/2022,5450
22/09/2022,5350
23/09/2022,5350
24/09/2022,5350
25/09/2022,5350
26/09/2022,5350
27/09/2022,5350
28/09/2022,5350
29/09/2022,5350
30/09/2022,5350
01/10/2022,5350
02/10/2022,5350
03/10/2022,5350
04/10/2022,5350
05/10/2022,5350
06/10/2022,5350
07/10/2022,5350
08/10/2022,5350
09/10/2022,5350
10/10/2022,5350
11/10/2022,5350
12/10/2022,5350
13/10/2022,5350
14/10/2022,5350
15/10/2022,5350
16/10/2022,5350
17/10/2022,5350
18/10/2022,5350
19/10/2022,5350
20/10/2022,5350
21/10/2022,5350
22/10/2022,5350
23/10/2022,5350
24/10/2022,5350
25/10/2022,5800
26/10/2022,5800
27/10/2022,6250
28/10/2022,6250
29/10/2022,6250
30/10/2022,6250
31/10/2022,6250
01/11/2022,6250
02/11/2022,6250
03/11/2022,6250
04/11/2022,6250
05/11/2022,6250
06/11/2022,6250
07/11/2022,6250
08/11/2022,6250
09/11/2022,6250
10/11/2022,6250
11/11/2022,6250
12/11/2022,6250
13/11/2022,6250
14/11/2022,6250
15/11/2022,6250
16/11/2022,6250
17/11/2022,6250
18/11/2022,6250
19/11/2022,6250
20/11/2022,6250
21/11/2022,6250
22/11/2022,6250
23/11/2022,6250
24/11/2022,6250
25/11/2022,6250
26/11/2022,6250
27/11/2022,6250
28/11/2022,6250
29/11/2022,6250
30/11/2022,6250
01/12/2022,6250
02/12/2022,6250
03/12/2022,6250
04/12/2022,6250
05/12/2022,6250
06/12/2022,6250
07/12/2022,6250
08/12/2022,6250
09/12/2022,6250
10/12/2022,6250
11/12/2022,6250
12/12/2022,6250
