Date,Price
21/06/2022,5375
22/06/2022,5375
23/06/2022,5375
24/06/2022,5500
25/06/2022,5450
26/06/2022,5450
29/06/2022,5450
30/06/2022,5450
01/07/2022,5450
02/07/2022,5450
03/07/2022,5450
05/07/2022,5450
06/07/2022,5450
07/07/2022,5350
08/07/2022,5350
09/07/2022,5450
10/07/2022,5450
11/07/2022,5450
12/07/2022,5450
13/07/2022,5250
14/07/2022,5250
15/07/2022,5250
16/07/2022,5450
17/07/2022,5250
18/07/2022,5450
19/07/2022,5350
20/07/2022,5450
21/07/2022,5375
22/07/2022,5375
23/07/2022,5375
24/07/2022,5500
25/07/2022,5450
26/07/2022,5450
29/07/2022,5450
30/07/2022,5450
31/07/2022,5450
01/08/2022,5450
02/08/2022,5450
03/08/2022,5450
05/08/2022,5450
06/08/2022,5450
07/08/2022,5350
08/08/2022,5350
09/08/2022,5450
10/08/2022,5450
11/08/2022,5450
12/08/2022,5450
13/08/2022,5250
14/08/2022,5250
15/08/2022,5250
16/08/2022,5450
17/08/2022,5250
18/08/2022,5450
19/08/2022,5350
20/08/2022,5450
21/08/2022,5375
22/08/2022,5375
23/08/2022,5375
24/08/2022,5500
25/08/2022,5450
26/08/2022,5450
29/08/2022,5450
30/08/2022,5450
31/08/2022,5450
01/09/2022,5450
02/09/2022,5450
03/09/2022,5450
05/09/2022,5450
06/09/2022,5450
07/09/2022,5350
08/09/2022,5350
09/09/2022,5450
10/09/2022,5450
11/09/2022,5450
12/09/2022,5450
13/09/2022,5450
14/09/2022,5450
15/09/2022,5450
16/09/2022,5450
17/09/2022,5450
18/09/2022,5450
19/09/2022,5450
20/09/2022,5450
21/09/2022,5450
22/09/2022,5350
23/09/2022,5350
24/09/2022,5350
25/09/2022,5350
26/09/2022,5350
27/09/2022,5350
28/09/2022,5350
29/09/2022,5350
30/09/2022,5350
01/11/2022,5350
02/11/2022,5350
03/11/2022,5350
04/11/2022,5350
05/11/2022,5350
06/11/2022,5350
07/11/2022,5350
08/11/2022,5350
09/11/2022,5350
10/11/2022,5350
11/11/2022,5350
12/11/2022,5350
13/11/2022,5350
14/11/2022,5350
15/11/2022,5350
16/11/2022,5350
17/11/2022,5350
18/11/2022,5350
19/11/2022,5350
20/11/2022,5350
21/11/2022,5350
22/11/2022,5350
23/11/2022,5350
24/11/2022,5350
25/11/2022,5800
26/11/2022,5800
27/11/2022,6250
28/11/2022,6250
29/11/2022,6250
30/11/2022,6250
31/11/2022,6250
01/11/2022,6250
02/11/2022,6250
03/11/2022,6250
04/11/2022,6250
05/11/2022,6250
06/11/2022,6250
