Date,Price
21/08/2022,5900
22/08/2022,5900
23/08/2022,5900
24/08/2022,5900
25/08/2022,5900
26/08/2022,5900
29/08/2022,5900
30/08/2022,5900
31/08/2022,5900
01/09/2022,5900
02/09/2022,5900
03/09/2022,5900
05/09/2022,5900
06/09/2022,5800
07/09/2022,5800
08/09/2022,5800
09/09/2022,5800
10/09/2022,5800
11/09/2022,5800
12/09/2022,5800
13/09/2022,5800
14/09/2022,5800
15/09/2022,5800
16/09/2022,5800
17/09/2022,5800
18/09/2022,5800
19/09/2022,5800
20/09/2022,5800
21/09/2022,5800
22/09/2022,5800
23/09/2022,5800
24/09/2022,5800
25/09/2022,5800
26/09/2022,5800
27/09/2022,5600
28/09/2022,5600
29/09/2022,5600
30/09/2022,5600
01/10/2022,5600
02/10/2022,5600
03/10/2022,5600
04/10/2022,5600
05/10/2022,5600
06/10/2022,5600
07/10/2022,5600
08/10/2022,5600
09/10/2022,5600
10/10/2022,5600
11/10/2022,5600
12/10/2022,5600
13/10/2022,5600
14/10/2022,5600
15/10/2022,5600
16/10/2022,5600
17/10/2022,5600
18/10/2022,5600
19/10/2022,5600
20/10/2022,5600
21/10/2022,5600
22/10/2022,5600
23/10/2022,5600
24/10/2022,5600
25/10/2022,5900
26/10/2022,6100
27/10/2022,6100
28/10/2022,6100
29/10/2022,6500
30/10/2022,6500
31/10/2022,6500
01/11/2022,6500
02/11/2022,6500
03/11/2022,6500
04/11/2022,6500
05/11/2022,6500
06/11/2022,6500
07/11/2022,6500
08/11/2022,6500
09/11/2022,6500
10/11/2022,6500
11/11/2022,6500
12/11/2022,6500
13/11/2022,6500
14/11/2022,6500
15/11/2022,6500
16/11/2022,6850
17/11/2022,6850
18/11/2022,6850
19/11/2022,6850
20/11/2022,6850
21/11/2022,6850
22/11/2022,6850
23/11/2022,6850
24/11/2022,6850
25/11/2022,6850
26/11/2022,6850
27/11/2022,6850
28/11/2022,6850
29/11/2022,6850
30/11/2022,6850
01/12/2022,6850
02/12/2022,6850
03/12/2022,6850
04/12/2022,6850
05/12/2022,6850
06/12/2022,6850
07/12/2022,6850
